vin,
KSDUSUDH6KJHJ34FG2, А345РН750, LADA, Granta, 2020, 98, 1000, 1,750000
HKDSL34H6KJFFDJ345, Б346АН750, Nissan, Navara, 2018, 122, 12300, 2,1250000
JJSKD76HGDS2HJD1S9, В344ПН90, Nissan, Skyline, 2022, 165, 2000, 1,2750000
UI923JK7HS23KJ89J3, П222РМ750, Kia, Seed, Avella, 2019, 110, 56000, 1,9750000
KOS09KKJ23JHD33DD3, В335ИН750, Kia, Niro, 2010, 108, 11000, 2,952000
O98HJSD7KH67HJ44JG, А654ГМ90, Kia, K8, 2020, 198, 22000, 3,1250000
HJ89GYHG6GHJJH8JHD, А565ОО50, LADA, Granta, 2020, 98, 1000, 1,750000
JJSKD76HGDS2HJD1S9, В344ПН90, Nissan, Skyline, 2011, 165, 222000, 3,1750000
KJD87JHKJ565GHJ67H, В676АР750, LADA, Granta, 2020, 98, 21000, 1,675000
HJJKH876HJHK676JH3, А768РТ750, LADA, Granta, 2019, 98, 41000, 1,775000
